PLAY,2008,No,
BSAA,BSAT,BSBA,BSBT,BSCA,BSCT,BSFA,BSFT,BSGA,BSGT,BSPA,BSPT,BSSA,BSST,BSTA,BSTT,BSWA,BSWT,EPAV,ISCN,PACC,PAGE,PAGI,PAWR,PBCV,PBKT,PBOT,PBRE,PBSG,PBSK,PCAR,PCEL,PCMT,PCOL,PCON,PCPH,PCSA,PCTH,PCYL,PDPI,PDRO,PDRR,PEGO,PELU,PEPS,PEYE,PFHO,PFLA,PFMK,PFMS,PFNA,PFPB,PGHE,PGID,PGSL,PHAN,PHGT,PHLM,PHSN,PHTN,PICN,PIMP,PINJ,PJEN,PJER,PJMP,PJTY,PKAC,PKPR,PKRT,PLBD,PLBK,PLBP,PLCI,PLCP,PLDT,PLEL,PLHA,PLHS,PLHT,PLHW,PLHY,PLIB,PLJM,PLKN,PLMC,PLMO,PLNA,PLPE,PLPL,PLPm,PLPO,PLPR,PLPU,PLRL,PLSA,PLSC,PLSH,PLSM,PLTH,PLTL,PLTR,PLTY,PLWR,PLZC,PMOR,PMPC,PMRR,PNEC,PNEK,POID,POVR,PPBF,PPBK,PPBS,PPLA,PPOS,PPTI,PQBS,PRBF,PRBK,PRBS,PREL,PRHA,PRKN,PRL2,PROL,PRSE,PRSH,PRTH,PRWR,PSA0,PSA1,PSA2,PSA3,PSA4,PSA5,PSA6,PSB0,PSB1,PSB2,PSB3,PSB4,PSB5,PSB6,PSBO,PSHG,PSKH,PSKI,PSPD,PSPL,PSPR,PSTA,PSTM,PSTN,PSTR,PSTY,PSXP,PTAD,PTAK,PTAM,PTAS,PTEN,PTGH,PTHA,PTHP,PTOP,PTOR,PTSA,PTUP,PUHE,PUND,PVCO,PVIS,PVSB,PVTS,PWGT,PYCF,PYRP,PYWT,SRRN,TGID,TRBH,TRBR,TRCB,TRCL,TRCT,TRDO,TRDP,TRDS,TRFB,TRFK,TRFP,TRFY,TRHM,TRIC,TRJR,TRPB,TRSB,TRSC,TRSP,TRSW,TRTA,TRTL,TRTR,TRTS,TRWU,TSPM,
0.806,0.625,0.871,0.825,1,0.205,1,0.55,1,0.455,0,0,1,0.55,1,0.655,0.5,0.5,175,0,87,28,86,77,79,79,0,0,35,19,89,1,5227,107,0,0,0,67,0,26,6,47,3,73,WareSpencer_492,0,0,0,57,30,Spencer,0,210,492,0,0,70,8,34,Cincinnati,0,10,64,39,0,86,0,31,32,55,48435,61,1,63,0,0,0,31,0,45,0,-31,59,81,2,18,1,Ware,15,100,26,99,35,35,59,84,60,16,77,2,1,87,5,11,25,0,3,57,1,0,492,73,31,64,35,33,1,9,0,42,61,46,0,31,2,0,0,1,16,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,86,1,1,89,1,0,77,0,6141,30,35,35,39,1,84,35,39,0,31,0,15,0,0,0,3,0,0,69,50,7,0,64,1009,0,0,4,0,0,0,0,0,0,0,2,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,
1,0.255,0.696,0.825,0.958,2.875,1,0.15,1,0.175,0,0,1,0.15,1,0.425,0.5,0.5,0,0,95,30,93,71,77,70,0,0,35,23,76,1,187,255,0,0,0,75,0,8,1,73,3,81,AustinTavon_494,0,0,0,9,10,Tavon,0,192,494,0,0,68,2,19,Baltimore,0,58,84,10,0,78,0,20,21,89,31026,42,1,68,0,0,8,21,0,15,1,-31,41,93,2,22,1,Austin,15,100,10,99,20,35,67,44,73,5,83,2,1,28,12,0,28,0,3,66,1,0,494,68,20,30,25,6,3,11,0,23,49,25,8,21,2,0,0,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,94,0,0,91,30,0,52,0,5663,6,21,10,15,1,84,32,37,0,10,0,11,0,0,0,0,0,0,19,50,7,1,75,1009,0,0,4,0,0,0,0,0,1,0,2,0,1,2,0,1,0,1,1,0,0,0,0,0,1,1,
0.951,0.35,0.806,0.49,0.95,2.989,0.909,0.25,0.976,0.025,0.025,0,0.905,0.25,1,0.2,0.5,0.5,0,0,93,29,91,70,75,83,0,0,39,46,74,1,3818,212,2,0,533,71,1,29,1,67,3,76,PattersonCordarrelle_498,0,0,0,32,10,Cordarrelle,0,214,498,0,0,74,7,39,Rock Hill,0,52,94,84,0,88,0,20,20,97,35123,27,1,68,0,0,0,38,0,32,0,-31,47,91,2,20,1,Patterson,15,100,10,99,25,49,68,87,79,18,81,2,1,80,9,0,25,0,0,64,1,0,498,65,27,47,28,24,3,0,0,12,54,17,0,38,2,0,0,1,18,2,0,217,283,0,0,0,0,0,250,250,0,0,0,0,0,500,6,2,1,93,0,0,90,15,0,70,0,6017,37,48,47,53,1,77,53,60,0,55,1000,36,0,0,2,3,473,525,78,50,7,0,69,1,0,0,4,0,0,0,0,0,1,0,2,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,
0.6,0.1,0.7,0.6,1,0,1,0.2,1,0.1,0.025,0,1,0.325,0.7,0.25,0.7,0.5,110,0,92,28,92,95,76,80,0,0,35,22,77,1,64,29,4,0,1383,90,1,14,3,84,1,81,AllenKeenan_505,0,0,0,40,10,Keenan,0,87,505,3,0,74,7,32,Greensboro,0,99,84,13,1,90,0,20,22,75,55732,45,1,91,0,0,0,6,0,15,1,-31,58,88,2,15,1,Allen,10,100,10,99,26,35,95,77,90,1,79,2,1,64,10,0,26,3,0,89,0,0,505,90,34,45,39,15,3,0,0,19,58,25,0,6,2,0,2,13,1,2,0,393,511,665,866,0,0,0,516,516,516,517,0,0,0,2065,6,1,1,89,0,0,94,95,0,71,0,5654,15,34,25,31,1,83,28,35,0,25,4500,20,0,0,5,0,1067,4016,51,50,7,6,94,8,0,0,4,1,0,0,0,0,1,0,2,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,
1,0.3,0.806,0.49,1,2.975,0.909,0.25,0.905,0.05,0.05,0,1,0.2,1,0.2,0.8,0.5,166,0,94,28,92,93,77,83,0,0,45,22,77,1,2329,39,6,0,1373,98,3,27,1,86,3,79,HopkinsDeAndre_506,6,0,0,99,32,DeAndre,0,155,506,3,0,73,14,39,Central,0,99,96,10,0,96,0,20,20,72,12980,29,1,97,0,0,0,48,0,35,0,-31,49,91,2,32,1,Hopkins,40,100,30,99,28,30,95,89,99,18,83,2,0,55,11,0,35,3,0,93,0,0,506,95,25,44,27,15,3,32,0,35,53,37,0,48,2,0,3,8,18,2,0,322,386,464,556,668,804,0,817,817,817,817,817,815,0,4900,6,1,1,91,0,0,98,80,0,74,0,5873,10,52,10,15,1,90,30,35,0,15,8100,23,0,0,6,0,750,8142,55,50,7,2,92,7,0,0,4,1,1,0,0,0,1,0,2,1,1,1,1,2,0,1,1,0,0,0,0,0,1,1,
1,0.125,0.901,0.2,1,0.01,1,0.075,1,0.015,0.015,0,1,0.025,0.875,0.075,0.75,0.5,0,0,91,28,88,87,74,77,0,0,40,22,79,1,5402,232,5,0,718,91,2,9,2,84,3,77,WoodsRobert_521,0,0,0,101,10,Robert,0,132,521,0,0,72,14,4,Gardena,0,96,94,17,0,89,0,22,25,78,20916,33,1,86,0,0,8,59,0,15,1,-31,53,87,2,18,1,Woods,40,100,10,99,22,41,81,67,87,21,75,2,1,53,10,0,21,0,1,85,1,0,521,83,29,45,30,15,3,0,0,33,61,36,8,59,2,0,1,3,21,2,0,254,330,429,558,727,0,0,160,160,160,160,162,0,0,802,6,1,1,90,0,0,93,35,0,60,0,6180,20,39,24,28,1,79,30,34,0,22,3100,20,0,0,5,3,802,3100,33,50,7,2,84,24,0,0,4,0,1,0,0,0,1,0,2,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,
0.8,0.175,0.7,2.65,1,0.103,1,0.2,1,0.251,0,0,1,0.205,1,0.25,0.5,0.5,94,0,89,30,84,66,77,75,0,0,40,22,75,1,6875,18,0,0,0,77,0,12,3,74,3,73,WilliamsTerrance_543,3,0,0,92,10,Terrance,0,190,543,15,0,74,2,42,Dallas,0,10,92,83,1,84,0,22,21,68,37937,32,1,77,0,0,0,39,0,22,1,-31,52,82,2,12,1,Williams,10,100,10,99,18,45,74,59,81,21,77,2,1,55,9,21,30,0,1,74,1,0,543,68,34,52,30,15,3,0,0,32,55,39,0,39,2,31,0,13,21,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,89,0,0,90,48,0,65,0,6167,20,39,25,35,1,79,29,29,0,20,0,24,0,0,0,3,0,0,50,50,7,0,76,1009,0,0,4,0,0,1,0,0,1,0,2,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,
0.8,0.175,0.7,2.65,1,0.01,1,0.2,1,0.025,0,0,1,0.205,1,0.25,0.5,0.5,0,0,90,29,83,58,72,74,0,0,42,22,71,1,2380,212,0,0,0,78,0,2,2,75,3,70,HunterJustin_549,0,0,0,39,10,Justin,0,203,549,0,0,76,7,45,Virginia Beach,0,10,81,11,0,93,0,17,19,50,41523,30,1,75,0,0,0,26,0,12,0,-31,50,81,2,10,1,Hunter,10,100,10,99,27,37,76,45,82,4,77,2,1,48,9,0,21,0,2,74,1,0,549,67,27,45,30,6,3,0,0,18,44,26,0,26,2,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,89,0,0,88,25,0,62,0,5883,6,35,10,15,1,68,34,38,0,10,0,20,0,0,0,0,0,0,43,50,7,0,72,1009,0,0,4,0,0,1,0,0,1,0,2,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,
1,0.125,0.901,0.297,1,0.057,1,0.075,1,0.103,0.05,0,1,0.075,0.875,0.075,0.5,0.5,189,0,88,29,86,73,75,70,0,0,43,30,70,1,4502,107,0,0,0,75,0,511,63,69,3,74,ShepardRussell_618,0,0,0,46,10,Russell,0,196,618,10,0,73,10,42,Houston,0,10,87,81,0,88,0,24,25,76,35890,36,1,73,0,0,0,34,0,15,1,-31,56,86,2,18,1,Shepard,15,100,10,99,25,59,69,63,79,18,74,2,0,58,9,0,26,10,1,71,0,0,618,66,30,45,30,40,3,16,0,18,39,26,0,34,2,0,0,8,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,90,0,0,87,50,0,57,0,6713,49,35,53,54,1,73,56,63,0,50,0,38,0,0,0,0,0,0,35,50,7,1,72,1009,0,0,4,0,1,0,0,0,1,0,2,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,
0.8,0.175,0.7,2.65,1,0.103,1,0.2,1,0.251,0,0,1,0.205,1,0.25,0.5,0.5,0,0,88,30,83,73,78,65,0,0,45,22,69,1,644,39,0,0,0,83,0,511,63,73,3,65,BrownJaron_625,0,0,0,9,10,Jaron,0,205,625,0,0,75,2,39,Cheraw,0,57,89,18,0,90,0,15,16,60,16434,42,1,76,0,0,0,23,0,25,0,-31,62,78,2,10,1,Brown,25,100,10,99,17,35,71,74,84,6,64,2,1,58,11,0,22,0,0,65,0,0,625,68,29,55,30,6,3,28,0,32,58,38,0,23,2,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,89,0,0,85,25,0,68,0,6727,6,39,10,15,1,73,28,32,0,10,0,22,0,0,0,0,0,0,44,50,7,1,63,1009,0,0,4,0,0,0,0,0,1,0,2,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,
1,0.125,0.901,0.297,1,0.057,1,0.075,1,0.103,0.05,0,1,0.075,0.875,0.075,0.5,0.5,0,0,91,29,89,57,80,72,0,0,35,26,71,1,5519,162,0,0,0,82,0,17,3,68,3,78,WheatonMarkus_702,0,0,0,51,10,Markus,0,214,702,0,0,71,14,2,Chandler,0,10,88,80,0,88,0,15,14,76,14515,25,1,75,0,0,0,4,0,12,1,-31,45,84,2,10,1,Wheaton,10,100,10,99,25,34,71,37,79,1,81,2,1,42,9,11,20,0,1,73,0,0,702,66,16,33,19,15,3,0,0,21,46,28,0,4,2,0,0,8,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,89,0,0,92,15,0,56,0,6154,20,29,30,34,1,76,31,35,0,15,0,20,0,0,0,0,0,0,29,50,7,0,72,1009,0,0,4,0,0,1,0,0,1,0,2,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,
1,0.125,0.901,0.297,1,0.057,1,0.075,1,0.103,0.05,0,1,0.075,0.875,0.075,0.5,0.5,153,0,95,29,92,73,73,68,0,0,37,22,74,1,1926,215,4,0,500,71,2,16,3,76,3,74,GoodwinMarquise_727,0,0,0,101,10,Marquise,0,198,727,0,0,69,14,42,Lubbock,0,10,67,13,0,93,0,20,21,83,40242,20,1,67,0,0,0,30,0,15,1,-31,40,77,2,18,1,Goodwin,10,100,10,99,24,44,70,46,76,18,65,2,1,38,9,0,25,0,1,73,1,0,727,70,19,32,20,6,3,15,0,29,51,43,0,30,2,31,0,3,18,2,0,139,180,234,307,0,0,0,266,266,266,267,0,0,0,1065,6,2,1,96,0,0,90,25,0,42,0,5825,6,25,10,15,1,71,32,34,0,10,1925,18,0,0,4,3,437,1765,19,50,7,2,69,13,0,0,4,0,1,0,0,0,1,0,2,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,
1,0.125,0.901,0.297,1,0.057,1,0.075,1,0.103,0.05,0,1,0.075,0.875,0.075,0.5,0.5,138,0,92,28,85,82,71,71,0,0,34,26,77,1,4742,158,4,0,927,79,1,11,5,86,4,72,StillsKenny_752,6,0,0,9,10,Kenny,0,248,752,17,0,73,2,4,Encinitas,0,80,86,12,0,86,0,20,19,77,45492,28,1,76,0,0,0,22,0,12,1,-31,48,79,2,11,1,Stills,10,100,10,99,24,35,78,39,82,5,66,2,1,46,9,0,22,0,0,76,3,0,752,76,29,43,27,20,3,0,0,31,43,37,0,22,2,0,0,8,5,2,24,194,253,329,429,0,0,0,499,499,499,498,0,0,0,1995,6,1,1,93,0,0,90,10,0,60,0,6100,15,29,20,25,1,78,23,30,0,15,3200,22,0,0,4,3,654,2194,42,50,7,0,66,32,0,0,4,0,1,0,0,0,1,0,2,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,
0.753,0.502,0.8,0.6,1,0.125,1,0.5,0.905,0.325,0.035,0,1,0.3,0.8,0.3,0.9,0.5,0,0,83,29,76,80,73,71,0,0,50,17,77,4,5530,153,2,0,433,84,2,21,1,54,3,57,EifertTyler_849,2,0,0,51,30,Tyler,0,164,849,0,0,78,14,13,Fort Wayne,0,80,54,85,0,77,0,21,22,10,17458,50,1,83,0,0,0,42,0,25,1,-31,60,68,2,11,1,Eifert,25,100,20,99,22,39,71,75,76,21,66,2,0,68,14,0,27,0,0,65,3,0,849,75,55,64,56,6,4,2,0,54,63,56,0,42,2,0,0,12,21,2,0,271,354,0,0,0,0,0,162,163,0,0,0,0,0,325,6,3,0,79,0,0,95,10,0,71,0,5786,6,35,10,15,1,83,35,40,0,10,950,15,0,0,1,3,120,183,95,50,7,7,61,17,0,0,4,1,1,0,0,0,1,0,2,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,
0.85,0.525,0.75,2.45,1,0.2,1,0.5,0.85,0.225,0.1,0,1,0.5,1,0.4,0.8,0.5,0,0,87,29,82,87,75,70,0,0,44,25,80,2,5532,201,6,0,831,97,2,3,2,65,3,64,ErtzZach_857,5,0,0,59,10,Zach,0,39,857,16,0,77,8,4,Orange,0,99,86,86,0,81,0,22,22,35,21810,52,1,90,0,0,0,29,0,12,0,-31,60,77,2,19,1,Ertz,10,100,10,99,17,36,76,76,86,2,62,2,1,69,14,22,18,0,0,76,1,0,857,85,56,63,57,6,4,0,0,48,54,49,12,29,2,0,2,12,2,2,22,168,219,284,370,481,628,0,350,350,350,350,350,350,0,2100,6,0,0,83,0,0,93,30,0,74,0,5790,6,36,10,15,1,87,35,42,0,10,4250,15,0,0,6,0,2343,1926,90,50,7,7,81,13,0,0,4,1,0,0,0,0,1,0,2,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,
